team,url,name,detail,SKU,RoyalBlue,price
Denver Nuggets,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873870,Denver Nuggets NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873870,LightBlue,$35.99
Cleveland Cavaliers,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873868,Cleveland Cavaliers NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873868,Navy,$35.99
Charlotte Hornets,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873866,Charlotte Hornets NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873866,Teal,$35.99
Pittsburgh Pirates,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881881,Pittsburgh Pirates MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881881,Cardinal Red,$34.99
Minnesota Twins,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881876,Minnesota Twins MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881876,Cardinal Red,$34.99
Milwaukee Brewers,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881875,Milwaukee Brewers MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881875,Cardinal Red,$34.99
Kansas City Royals,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881872,Kansas City Royals MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881872,Cardinal Red,$34.99
Colorado Rockies,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881869,Colorado Rockies MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881869,Cardinal Red,$34.99
Arizona Diamondbacks,http://shop.neweracap.com/style/MLB-Cardnial-Gray-59FIFTY-Cap/20881861,Arizona Diamondbacks MLB Cardnial Gray 59FIFTY Cap,"Made of 100% Polyester, Woven",20881861,Cardinal Red,$34.99
Washington Wizards,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873885,Washington Wizards NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873885,Navy,$35.99
Portland Trail Blazers,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873883,Portland Trail Blazers NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873883,Black,$35.99
Phoenix Suns,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873882,Phoenix Suns NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873882,Purple,$35.99
Orlando Magic,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873881,Orlando Magic NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873881,Black,$35.99
Oklahoma City Thunder,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873880,Oklahoma City Thunder NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873880,Navy,$35.99
New Orleans Pelicans,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873878,New Orleans Pelicans NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873878,Navy,$35.99
Miami Heat,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873877,Miami Heat NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873877,Black,$35.99
Los Angeles Lakers,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873876,Los Angeles Lakers NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873876,Purple,$35.99
Los Angeles Clippers,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873875,Los Angeles Clippers NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873875,RoyalBlue,$35.99
Indiana Pacers,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873874,Indiana Pacers NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873874,Navy,$35.99
Houston Rockets,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873873,Houston Rockets NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873873,Red,$35.99
Golden State Warriors,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873872,Golden State Warriors NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873872,RoyalBlue,$35.99
Dallas Mavericks,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873869,Dallas Mavericks NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873869,Blue,$35.99
Boston Celtics,http://shop.neweracap.com/style/NBA-Iridescent-59FIFTY-Cap/20873865,Boston Celtics NBA Iridescent 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20873865,Green,$35.99
Golden State Warriors,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875844,Golden State Warriors NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875844,Black,$34.99
Los Angeles Lakers,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875851,Los Angeles Lakers NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875851,Black,$34.99
Cleveland Cavaliers,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875835,Cleveland Cavaliers NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875835,Black,$34.99
Toronto Raptors,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875882,Toronto Raptors NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875882,Black,$34.99
Los Angeles Clippers,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875850,Los Angeles Clippers NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875850,Black,$34.99
Chicago Bulls,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876150,Chicago Bulls NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876150,Gray/Black,$34.99
New York Knicks,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875864,New York Knicks NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875864,Black,$34.99
Memphis Grizzlies,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875853,Memphis Grizzlies NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875853,Black,$34.99
San Antonio Spurs,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876174,San Antonio Spurs NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876174,Gray/Black,$34.99
Portland Trail Blazers,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876173,Portland Trail Blazers NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876173,Gray/Black,$34.99
San Antonio Spurs,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875880,San Antonio Spurs NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875880,Black,$34.99
Portland Trail Blazers,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875878,Portland Trail Blazers NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875878,Black,$34.99
Boston Celtics,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875827,Boston Celtics NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875827,Black,$34.99
Sacramento Kings,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876171,Sacramento Kings NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876171,Gray/Black,$34.99
Oklahoma City Thunder,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875866,Oklahoma City Thunder NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875866,Black,$34.99
Houston Rockets,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875846,Houston Rockets NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875846,Black,$34.99
Charlotte Hornets,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875831,Charlotte Hornets NBA Black Graph 59FIFTY Cap,"Made of 80% Wool, Woven, 20% Acrylic, Woven",20875831,Black,$34.99
Washington Wizards,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876176,Washington Wizards NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876176,Gray/Black,$34.99
Toronto Raptors,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876175,Toronto Raptors NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876175,Gray/Black,$34.99
Memphis Grizzlies,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876161,Memphis Grizzlies NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876161,Gray/Black,$34.99
Los Angeles Clippers,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876158,Los Angeles Clippers NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876158,Gray/Black,$34.99
Indiana Pacers,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876157,Indiana Pacers NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876157,Gray/Black,$34.99
Detroit Pistons,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876154,Detroit Pistons NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876154,Gray/Black,$34.99
Phoenix Suns,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875876,Phoenix Suns NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875876,Black,$34.99
Sacramento Kings,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875874,Sacramento Kings NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875874,Black,$34.99
Philadelphia 76ers,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875872,Philadelphia 76ers NBA Black Graph 59FIFTY Cap,"Made of 80% Wool, Woven, 20% Acrylic, Woven",20875872,Black,$34.99
New Orleans Pelicans,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875862,New Orleans Pelicans NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875862,Black,$34.99
Minnesota Timberwolves,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875860,Minnesota Timberwolves NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875860,Black,$34.99
Dallas Mavericks,http://shop.neweracap.com/style/NBA-Black-Graph-59FIFTY-Cap/20875838,Dallas Mavericks NBA Black Graph 59FIFTY Cap,"Made of 70% Acrylic, Woven, 30% Wool, Woven",20875838,Black,$34.99
Phoenix Suns,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876172,Phoenix Suns NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876172,Gray/Black,$34.99
Utah Jazz,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876169,Utah Jazz NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876169,Gray/Black,$34.99
Oklahoma City Thunder,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876167,Oklahoma City Thunder NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876167,Gray/Black,$34.99
New York Knicks,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876166,New York Knicks NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 70% Polyester, Woven, 21% Acrylic, Woven, 9% Wool, Woven",20876166,Gray/Black,$34.99
New Orleans Pelicans,http://shop.neweracap.com/style/NBA-2-Tone-Gray-Black-59FIFTY-Cap/20876165,New Orleans Pelicans NBA 2-Tone Gray Black 59FIFTY Cap,"Made of 80% Wool, Woven, 20% Polyester, Woven",20876165,Gray/Black,$34.99
