team,url,name,detail,SKU,color,price
Cincinnati Reds,http://shop.neweracap.com/style/MLB-Hardball-39THIRTY-Cap/20834565,Cincinnati Reds MLB Hardball 39THIRTY Cap,"Made of 100% Polyester, Woven",20834565,Red/Navy,$29.99
Carolina Panthers,http://shop.neweracap.com/style/NFL-2015-Chase-39THIRTY-Cap/20832629,Carolina Panthers NFL 2015 Chase 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20832629,Gray,$27.99
San Francisco Giants,http://shop.neweracap.com/style/MLB-Team-Color-Tech-Fuse-39THIRTY-Cap/20830517,San Francisco Giants MLB Team Color Tech Fuse 39THIRTY Cap,"Made of 65% Polyester, Woven, 35% Cotton, Woven",20830517,Black,$29.99
New York Yankees,http://shop.neweracap.com/style/MLB-Team-Color-Tech-Fuse-39THIRTY-Cap/20830512,New York Yankees MLB Team Color Tech Fuse 39THIRTY Cap,"Made of 65% Polyester, Woven, 35% Cotton, Woven",20830512,Heather Navy/Black,$29.99
Chicago Cubs,http://shop.neweracap.com/style/MLB-Team-Color-Tech-Fuse-39THIRTY-Cap/20830499,Chicago Cubs MLB Team Color Tech Fuse 39THIRTY Cap,"Made of 65% Polyester, Woven, 35% Cotton, Woven",20830499,RoyalBlue/Black,$29.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Team-Color-Tech-Fuse-39THIRTY-Cap/20830498,Boston Red Sox MLB Team Color Tech Fuse 39THIRTY Cap,"Made of 65% Polyester, Woven, 35% Cotton, Woven",20830498,Heather Navy/Black,$29.99
Jamie McMurray,http://shop.neweracap.com/style/NASCAR-2016-American-Salute-39THIRTY-Cap/20827216,Jamie McMurray NASCAR 2016 American Salute 39THIRTY Cap,"Made of 100% Polyester, Woven",20827216,Navy/White,$29.99
Denny Hamlin,http://shop.neweracap.com/style/NASCAR-2016-American-Salute-39THIRTY-Cap/20827213,Denny Hamlin NASCAR 2016 American Salute 39THIRTY Cap,"Made of 100% Polyester, Woven",20827213,Navy/White,$29.99
Danica Patrick,http://shop.neweracap.com/style/NASCAR-2016-American-Salute-39THIRTY-Cap/20827211,Danica Patrick NASCAR 2016 American Salute 39THIRTY Cap,"Made of 100% Polyester, Woven",20827211,Navy/White,$29.99
Washington Nationals,http://shop.neweracap.com/style/MLB-Heathered-Neo-39THIRTY-Cap/20824848,Washington Nationals MLB Heathered Neo 39THIRTY Cap,"Made of 50% Polyester, Woven, 30% Cotton, Woven, 16% Acrylic, Woven, 4% Wool, Woven",20824848,Navy/Gray/Red,$29.99
Houston Astros,http://shop.neweracap.com/style/MLB-Heathered-Neo-39THIRTY-Cap/20824842,Houston Astros MLB Heathered Neo 39THIRTY Cap,"Made of 50% Polyester, Woven, 30% Cotton, Woven, 16% Acrylic, Woven, 4% Wool, Woven",20824842,Orange/Gray/Navy,$29.99
Cleveland Indians,http://shop.neweracap.com/style/MLB-Heathered-Neo-39THIRTY-Cap/20824836,Cleveland Indians MLB Heathered Neo 39THIRTY Cap,"Made of 50% Polyester, Woven, 30% Cotton, Woven, 16% Acrylic, Woven, 4% Wool, Woven",20824836,Red/Gray/Navy,$29.99
Philadelphia Phillies,http://shop.neweracap.com/style/MLB-Heathered-Neo-39THIRTY-Cap/20824833,Philadelphia Phillies MLB Heathered Neo 39THIRTY Cap,"Made of 50% Polyester, Woven, 30% Cotton, Woven, 16% Acrylic, Woven, 4% Wool, Woven",20824833,RoyalBlue/Gray/Red,$29.99
New York Yankees,http://shop.neweracap.com/style/MLB-Heathered-Neo-39THIRTY-Cap/20824830,New York Yankees MLB Heathered Neo 39THIRTY Cap,"Made of 50% Polyester, Woven, 30% Cotton, Woven, 16% Acrylic, Woven, 4% Wool, Woven",20824830,White/Gray/Navy,$29.99
Nebraska Cornhuskers,http://shop.neweracap.com/style/NCAA-Heathered-Neo-39THIRTY-Cap/20823022,Nebraska Cornhuskers NCAA Heathered Neo 39THIRTY Cap,"Made of 50% Polyester, Woven, 30% Cotton, Woven, 16% Acrylic, Woven, 4% Wool, Woven",20823022,Heather/Red/White,$29.99
Arizona Wildcats,http://shop.neweracap.com/style/NCAA-Heathered-Neo-39THIRTY-Cap/20822992,Arizona Wildcats NCAA Heathered Neo 39THIRTY Cap,"Made of 50% Polyester, Woven, 30% Cotton, Woven, 16% Acrylic, Woven, 4% Wool, Woven",20822992,Heather/Red/LightNavy,$29.99
Pittsburgh Steelers,http://shop.neweracap.com/style/NFL-Chase-White-Front-Mesh-39THIRTY-Cap/20822146,Pittsburgh Steelers NFL Chase White Front Mesh 39THIRTY Cap,"Made of 80% Polyester, Woven, 18% Nylon, Woven, 2% Spandex Blend, Woven",20822146,Black/White/Gold,$29.99
Pittsburgh Steelers,http://shop.neweracap.com/style/NFL-Chase-Gray-Reflective-39THIRTY-Cap/20822106,Pittsburgh Steelers NFL Chase Gray Reflective 39THIRTY Cap,"Made of 95% Polyester, Woven, 5% Spandex, Woven",20822106,Gray/Charcoal,$29.99
Matt Kenseth,http://shop.neweracap.com/style/NASCAR-Trackside-39THIRTY-Cap/20819257,Matt Kenseth NASCAR Trackside 39THIRTY Cap,"Made of 100% Polyester, Woven",20819257,Black,$29.99
Texas Rangers,http://shop.neweracap.com/style/MLB-Team-Front-Neo-39THIRTY-Cap/20812101,Texas Rangers MLB Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812101,RoyalBlue/Red,$29.99
St. Louis Cardinals,http://shop.neweracap.com/style/MLB-Team-Front-Neo-39THIRTY-Cap/20812096,St. Louis Cardinals MLB Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812096,Red/Navy,$29.99
Cincinnati Reds,http://shop.neweracap.com/style/MLB-Team-Front-Neo-39THIRTY-Cap/20812094,Cincinnati Reds MLB Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812094,Black/Red,$29.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Team-Front-Neo-39THIRTY-Cap/20812087,Boston Red Sox MLB Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20812087,Navy/Red,$29.99
St. Louis Cardinals,http://shop.neweracap.com/style/MLB-Team-Reflectaline-39THIRTY-Cap/20812061,St. Louis Cardinals MLB Team Reflectaline 39THIRTY Cap,"Made of 100% Polyester, Woven",20812061,Red,$29.99
Miami Marlins,http://shop.neweracap.com/style/MLB-Team-Reflectaline-39THIRTY-Cap/20812054,Miami Marlins MLB Team Reflectaline 39THIRTY Cap,"Made of 100% Polyester, Woven",20812054,Black,$29.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Team-Reflectaline-39THIRTY-Cap/20812039,Boston Red Sox MLB Team Reflectaline 39THIRTY Cap,"Made of 100% Polyester, Woven",20812039,Navy,$29.99
Washington Nationals,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20812033,Washington Nationals MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Knit, 30% Cotton, Knit",20812033,Gray,$29.99
San Diego Padres,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20812027,San Diego Padres MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Knit, 30% Cotton, Knit",20812027,Gray,$29.99
Pittsburgh Pirates,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20812026,Pittsburgh Pirates MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Woven, 30% Cotton, Woven",20812026,Gray,$29.99
New York Mets,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20812023,New York Mets MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Woven, 30% Cotton, Woven",20812023,Gray,$29.99
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20811974,Los Angeles Dodgers MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Woven, 30% Cotton, Woven",20811974,Gray,$29.99
Chicago White Sox,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20811955,Chicago White Sox MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Woven, 30% Cotton, Woven",20811955,Gray,$29.99
Baltimore Orioles,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20811948,Baltimore Orioles MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Knit, 30% Cotton, Knit",20811948,Gray,$29.99
Atlanta Braves,http://shop.neweracap.com/style/MLB-2016-Clubhouse-39THIRTY-Cap/20811942,Atlanta Braves MLB 2016 Clubhouse 39THIRTY Cap,"Made of 70% Polyester, Knit, 30% Cotton, Knit",20811942,Gray,$29.99
Toledo Rockets,http://shop.neweracap.com/style/NCAA-Team-Front-Neo-39THIRTY-Cap/20811854,Toledo Rockets NCAA Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20811854,Navy/Gold,$24.99
Stanford Cardinal,http://shop.neweracap.com/style/NCAA-Team-Front-Neo-39THIRTY-Cap/20811850,Stanford Cardinal NCAA Team Front Neo 39THIRTY Cap,"Made of 60% Polyester, Woven, 40% Cotton, Woven",20811850,Cardinal Red/Gray,$24.99
Nebraska Cornhuskers,http://shop.neweracap.com/style/NCAA-Team-Front-Neo-39THIRTY-Cap/20811842,Nebraska Cornhuskers NCAA Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20811842,Red/Black,$24.99
California Golden Bears,http://shop.neweracap.com/style/NCAA-Team-Front-Neo-39THIRTY-Cap/20811830,California Golden Bears NCAA Team Front Neo 39THIRTY Cap,"Made of 50% Cotton, Woven, 50% Polyester, Woven",20811830,Yellow/Navy,$24.99
