team,url,name,detail,SKU,color,price
Cleveland Browns,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-9FIFTY-Original-Fit-Snapback-Cap/20826778,Cleveland Browns 2016 NFL Kids Draft 9FIFTY Original Fit Snapback Cap,"Made of 100% Polyester, Woven",20826778,Heather Gray/Brown,$27.99
Cincinnati Bengals,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-9FIFTY-Original-Fit-Snapback-Cap/20826777,Cincinnati Bengals 2016 NFL Kids Draft 9FIFTY Original Fit Snapback Cap,"Made of 100% Polyester, Woven",20826777,Heather Gray/Black,$27.99
Chicago Bears,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-9FIFTY-Original-Fit-Snapback-Cap/20826776,Chicago Bears 2016 NFL Kids Draft 9FIFTY Original Fit Snapback Cap,"Made of 100% Polyester, Woven",20826776,Heather Gray/Navy,$27.99
Buffalo Bills,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-9FIFTY-Original-Fit-Snapback-Cap/20826774,Buffalo Bills 2016 NFL Kids Draft 9FIFTY Original Fit Snapback Cap,"Made of 100% Polyester, Woven",20826774,Heather Gray/RoyalBlue,$27.99
Baltimore Ravens,http://shop.neweracap.com/style/2016-NFL-Kids-Draft-9FIFTY-Original-Fit-Snapback-Cap/20826773,Baltimore Ravens 2016 NFL Kids Draft 9FIFTY Original Fit Snapback Cap,"Made of 100% Polyester, Woven",20826773,Heather Gray/Black,$27.99
Chicago Cubs,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619374,Chicago Cubs MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619374,RoyalBlue,$24.99
Thor,http://shop.neweracap.com/style/Youth-Avenger-Pop-9FIFTY-Snapback-Cap/20728928,"Marvel ""Thor"" Youth Avenger Pop 9FIFTY Snapback Cap","Made of 70% Polyester, Woven, 30% Cotton, Woven",20728928,Gray,$24.99
New York Yankees,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700827,New York Yankees MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700827,Navy/White,$17.99
Boston Red Sox,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700818,Boston Red Sox MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700818,Navy/Red,$17.99
Detroit Tigers,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20815148,Detroit Tigers MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20815148,Navy/Navy,$24.99
Dallas Cowboys,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20758449,Dallas Cowboys NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20758449,Navy/Gray,$19.99
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-Infant-My-1st-9FIFTY-Snapback-Cap/20700804,Los Angeles Dodgers MLB Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20700804,Gray/RoyalBlue,$17.99
New York Mets,http://shop.neweracap.com/style/MLB-Youth-Major-Wool-9FIFTY-Snapback-Cap/20619390,New York Mets MLB Youth Major Wool 9FIFTY Snapback Cap,"Made of 100% Wool, Woven",20619390,Black,$24.99
Chicago Bulls,http://shop.neweracap.com/style/NBA-HWC-Youth-Heather-Team-Color-9FIFTY-Snapback-Cap/20815121,Chicago Bulls NBA HWC Youth Heather Team Color 9FIFTY Snapback Cap,"Made of 80% Acrylic, Woven, 20% Wool, Woven",20815121,Heather Gray,$24.99
Washington Redskins,http://shop.neweracap.com/style/NFL-Infant-My-1st-9FIFTY-Snapback-Cap/20759162,Washington Redskins NFL Infant My 1st 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20759162,Maroon/Gold,$19.99
