team,url,name,detail,SKU,color,price
Houston Oilers,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866652,Houston Oilers NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866652,LightBlue/Red,$31.99
Chicago Bears,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866643,Chicago Bears NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866643,Navy/Navy,$31.99
Atlanta Falcons,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866639,Atlanta Falcons NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866639,Black/Black,$31.99
Washington Redskins,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866682,Washington Redskins NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866682,Maroon/Gold,$31.99
Seattle Seahawks,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866678,Seattle Seahawks NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866678,RoyalBlue/Green,$31.99
Philadelphia Eagles,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866670,Philadelphia Eagles NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866670,Kelly Green/Kelly Green,$31.99
Oakland Raiders,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866669,Oakland Raiders NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866669,Black/Gray,$31.99
New York Jets,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866666,New York Jets NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866666,Green/Black,$31.99
New York Giants,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866663,New York Giants NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866663,RoyalBlue/RoyalBlue,$31.99
New Orleans Saints,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866662,New Orleans Saints NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866662,Black/Black,$31.99
New England Patriots,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866661,New England Patriots NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866661,Navy/Red,$31.99
Houston Oilers,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866651,Houston Oilers NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866651,LightBlue/LightBlue,$31.99
Detroit Lions,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866649,Detroit Lions NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866649,Blue,$31.99
Cincinnati Bengals,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866645,Cincinnati Bengals NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866645,Black/Black,$31.99
Chicago Bears,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866644,Chicago Bears NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866644,Navy/Orange,$31.99
Buffalo Bills,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866641,Buffalo Bills NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866641,RoyalBlue/RoyalBlue,$31.99
Atlanta Falcons,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866640,Atlanta Falcons NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866640,Black/Red,$31.99
Washington Redskins,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866681,Washington Redskins NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866681,Maroon/Maroon,$31.99
Tampa Bay Buccaneers,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866680,Tampa Bay Buccaneers NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866680,Orange/Red,$31.99
Tampa Bay Buccaneers,http://shop.neweracap.com/style/NFL-Historic-Vintage-9FIFTY-Snapback-Cap/20866679,Tampa Bay Buccaneers NFL Historic Vintage 9FIFTY Snapback Cap,"Made of 100% Polyester, Woven",20866679,Orange/Orange,$31.99
