team,url,name,SKU,price,color,detail
Dallas Cowboys,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20847034,Dallas Cowboys 2016 Official NFL Sideline 59FIFTY Cap,20847034,$27.99,Navy,"Made of 100% Polyester, Woven"
Oakland Raiders,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841699,Oakland Raiders 2016 Official NFL Sideline 59FIFTY Cap,20841699,$25.99,Black,"Made of 100% Polyester, Woven"
Seattle Seahawks,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841707,Seattle Seahawks 2016 Official NFL Sideline 59FIFTY Cap,20841707,$25.99,Navy,"Made of 100% Polyester, Woven"
New England Patriots,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841695,New England Patriots 2016 Official NFL Sideline 59FIFTY Cap,20841695,$25.99,Navy,"Made of 100% Polyester, Woven"
Denver Broncos,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841686,Denver Broncos 2016 Official NFL Sideline 59FIFTY Cap,20841686,$25.99,Orange,"Made of 100% Polyester, Woven"
Carolina Panthers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841681,Carolina Panthers 2016 Official NFL Sideline 59FIFTY Cap,20841681,$25.99,LightBlue,"Made of 100% Polyester, Woven"
Pittsburgh Steelers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841702,Pittsburgh Steelers 2016 Official NFL Sideline 59FIFTY Cap,20841702,$25.99,Black,"Made of 100% Polyester, Woven"
Kansas City Chiefs,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841692,Kansas City Chiefs 2016 Official NFL Sideline 59FIFTY Cap,20841692,$25.99,Red,"Made of 100% Polyester, Woven"
Arizona Cardinals,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841677,Arizona Cardinals 2016 Official NFL Sideline 59FIFTY Cap,20841677,$25.99,Maroon,"Made of 100% Polyester, Woven"
Los Angeles Rams,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841723,Los Angeles Rams 2016 Official NFL Sideline 59FIFTY Cap,20841723,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Atlanta Falcons,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841713,Atlanta Falcons 2016 Official NFL Sideline 59FIFTY Cap,20841713,$25.99,Red,"Made of 100% Polyester, Woven"
San Francisco 49ers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841706,San Francisco 49ers 2016 Official NFL Sideline 59FIFTY Cap,20841706,$25.99,Black,"Made of 100% Polyester, Woven"
San Francisco 49ers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841705,San Francisco 49ers 2016 Official NFL Sideline 59FIFTY Cap,20841705,$25.99,Red,"Made of 100% Polyester, Woven"
San Francisco 49ers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841704,San Francisco 49ers 2016 Official NFL Sideline 59FIFTY Cap,20841704,$25.99,Black,"Made of 100% Polyester, Woven"
Philadelphia Eagles,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841701,Philadelphia Eagles 2016 Official NFL Sideline 59FIFTY Cap,20841701,$25.99,Black,"Made of 100% Polyester, Woven"
Miami Dolphins,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841693,Miami Dolphins 2016 Official NFL Sideline 59FIFTY Cap,20841693,$25.99,Aqua,"Made of 100% Polyester, Woven"
Green Bay Packers,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841688,Green Bay Packers 2016 Official NFL Sideline 59FIFTY Cap,20841688,$25.99,Green,"Made of 100% Polyester, Woven"
Chicago Bears,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841683,Chicago Bears 2016 Official NFL Sideline 59FIFTY Cap,20841683,$25.99,Navy,"Made of 100% Polyester, Woven"
Buffalo Bills,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841680,Buffalo Bills 2016 Official NFL Sideline 59FIFTY Cap,20841680,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Baltimore Ravens,http://shop.neweracap.com/Style/NFL-Sideline-Cap/20841679,Baltimore Ravens 2016 Official NFL Sideline 59FIFTY Cap,20841679,$25.99,Black,"Made of 100% Polyester, Woven"
