team,url,name,SKU,price,color,detail
Los Angeles Angels,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20105715,Los Angeles Angels MLB Black and White Fashion 59FIFTY Cap,20105715,$24.99,Black,"Made of 100% Wool, Woven Fleece"
Los Angeles Dodgers,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055141,Los Angeles Dodgers MLB Authentic Collection 59FIFTY Cap,20055141,$25.99,RoyalBlue,"Made of 97% Acrylic, Woven, 3% Spandex, Woven"
Detroit Tigers,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055136,Detroit Tigers MLB Authentic Collection 59FIFTY Cap,20055136,$25.99,Navy,"Made of 100% Polyester, Woven"
Los Angeles Dodgers,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841490,Los Angeles Dodgers 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841490,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Cleveland Indians,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20835763,Cleveland Indians MLB Authentic Collection 59FIFTY Cap,20835763,$19.99,Navy,"Made of 100% Polyester, Woven"
New York Mets,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830472,New York Mets MLB Authentic Collection 59FIFTY Cap,20830472,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Arizona Diamondbacks,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830470,Arizona Diamondbacks MLB Authentic Collection 59FIFTY Cap,20830470,$25.99,Black/DarkRed,"Made of 100% Polyester, Woven"
San Francisco Giants,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817232,San Francisco Giants MLB Kids 2016 Diamond Era 59FIFTY Cap,20817232,$25.99,Black,"Made of 100% Polyester, Woven"
New York Yankees,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817225,New York Yankees MLB Kids 2016 Diamond Era 59FIFTY Cap,20817225,$25.99,White/Navy,"Made of 100% Polyester, Woven"
Miami Marlins,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817216,Miami Marlins MLB Kids 2016 Diamond Era 59FIFTY Cap,20817216,$25.99,Black,"Made of 100% Polyester, Woven"
Arizona Diamondbacks,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817194,Arizona Diamondbacks MLB Kids 2016 Diamond Era 59FIFTY Cap,20817194,$25.99,Brick,"Made of 100% Polyester, Woven"
Chicago Bears,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20530676,Chicago Bears NFL 2012 Kids Classics 59FIFTY Cap,20530676,$24.99,Navy,"Made of 100% Polyester, Woven"
Toronto Blue Jays,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20496799,Toronto Blue Jays MLB Authentic Collection 59FIFTY Cap,20496799,$25.99,Light Royal,"Made of 100% Polyester, Woven"
Boston Red Sox,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398525,Boston Red Sox MLB Youth Gray Black and White 59FIFTY,20398525,$24.99,Gray,"Made of 100% Polyester, Woven"
Atlanta Braves,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398496,Atlanta Braves MLB Youth Gray Black and White 59FIFTY,20398496,$24.99,Gray,"Made of 100% Polyester, Woven"
Washington Redskins,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395236,Washington Redskins NFL 2012 Kids Classics 59FIFTY Cap,20395236,$24.99,Gold/Maroon,"Made of 100% Polyester, Woven"
Los Angeles Rams,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395234,Los Angeles Rams NFL 2012 Kids Classics 59FIFTY Cap,20395234,$24.99,RoyalBlue/Yellow,"Made of 100% Polyester, Woven"
Pittsburgh Steelers,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395233,Pittsburgh Steelers NFL 2012 Kids Classics 59FIFTY Cap,20395233,$24.99,Yellow/Black,"Made of 100% Polyester, Woven"
St. Louis Cardinals,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249796,St. Louis Cardinals MLB Authentic Collection 59FIFTY Cap,20249796,$19.99,Red,"Made of 100% Polyester, Woven"
New York Yankees,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249789,New York Yankees MLB Authentic Collection 59FIFTY Cap,20249789,$19.99,Navy,"Made of 100% Polyester, Woven"
Los Angeles Dodgers,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249785,Los Angeles Dodgers MLB Authentic Collection 59FIFTY Cap,20249785,$19.99,RoyalBlue,"Made of 100% Polyester, Woven"
Cleveland Indians,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20110596,Cleveland Indians MLB Authentic Collection 59FIFTY Cap,20110596,$25.99,Navy,"Made of 100% Polyester, Woven"
New York Yankees,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20079640,New York Yankees MLB Black and White Fashion 59FIFTY Cap,20079640,$24.99,Black,"Made of 100% Wool, Woven Fleece"
Washington Nationals,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055154,Washington Nationals MLB Authentic Collection 59FIFTY Cap,20055154,$25.99,Red,"Made of 100% Polyester, Woven"
Oakland Athletics,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055146,Oakland Athletics MLB Authentic Collection 59FIFTY Cap,20055146,$25.99,Green/Yellow,"Made of 100% Polyester, Woven"
Atlanta Braves,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055130,Atlanta Braves MLB Authentic Collection 59FIFTY Cap,20055130,$25.99,Navy/Red,"Made of 100% Polyester, Woven"
Tampa Bay Rays,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841503,Tampa Bay Rays 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841503,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Houston Astros,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841488,Houston Astros 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841488,$27.99,Red/White,"Made of 100% Polyester, Woven"
Cleveland Indians,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841485,Cleveland Indians 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841485,$27.99,Red/White,"Made of 100% Polyester, Woven"
Boston Red Sox,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841481,Boston Red Sox 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841481,$27.99,Red/White,"Made of 100% Polyester, Woven"
Baltimore Orioles,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841480,Baltimore Orioles 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841480,$27.99,Red/White,"Made of 100% Polyester, Woven"
Pittsburgh Pirates,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830473,Pittsburgh Pirates MLB Authentic Collection 59FIFTY Cap,20830473,$25.99,Black/Gold,"Made of 100% Polyester, Woven"
Washington Nationals,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817239,Washington Nationals MLB Kids 2016 Diamond Era 59FIFTY Cap,20817239,$25.99,White/Red,"Made of 100% Polyester, Woven"
Texas Rangers,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817237,Texas Rangers MLB Kids 2016 Diamond Era 59FIFTY Cap,20817237,$25.99,Navy/Red,"Made of 100% Polyester, Woven"
St. Louis Cardinals,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817234,St. Louis Cardinals MLB Kids 2016 Diamond Era 59FIFTY Cap,20817234,$25.99,Red,"Made of 100% Polyester, Woven"
Pittsburgh Pirates,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817230,Pittsburgh Pirates MLB Kids 2016 Diamond Era 59FIFTY Cap,20817230,$25.99,Black,"Made of 100% Polyester, Woven"
Philadelphia Phillies,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817228,Philadelphia Phillies MLB Kids 2016 Diamond Era 59FIFTY Cap,20817228,$25.99,Red/Navy,"Made of 100% Polyester, Woven"
Oakland Athletics,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817227,Oakland Athletics MLB Kids 2016 Diamond Era 59FIFTY Cap,20817227,$25.99,Green,"Made of 100% Polyester, Woven"
Minnesota Twins,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817221,Minnesota Twins MLB Kids 2016 Diamond Era 59FIFTY Cap,20817221,$25.99,White/Red/Navy,"Made of 100% Polyester, Woven"
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817215,Los Angeles Dodgers MLB Kids 2016 Diamond Era 59FIFTY Cap,20817215,$25.99,Navy/Gray,"Made of 100% Polyester, Woven"
Atlanta Braves,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817195,Atlanta Braves MLB Kids 2016 Diamond Era 59FIFTY Cap,20817195,$25.99,Navy,"Made of 100% Polyester, Woven"
Los Angeles Angels,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817193,Los Angeles Angels MLB Kids 2016 Diamond Era 59FIFTY Cap,20817193,$25.99,Red/Navy,"Made of 100% Polyester, Woven"
Cleveland Indians,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20728293,Cleveland Indians MLB Black and White Fashion 59FIFTY Cap,20728293,$24.99,Black/White,"Made of 100% Wool, Woven"
Cleveland Indians,http://shop.neweracap.com/Style/59Fifty-MLB-Black-on-Black-Fashion/20728277,Cleveland Indians MLB Black on Black Fashion 59FIFTY Cap,20728277,$24.99,Black,"Made of 100% Wool, Woven"
New York Mets,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20603331,New York Mets MLB Authentic Collection 59FIFTY Cap,20603331,$25.99,RoyalBlue/Orange,"Made of 100% Polyester, Woven"
Oakland Athletics,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20587955,Oakland Athletics MLB Authentic Collection 59FIFTY Cap,20587955,$25.99,Green,"Made of 100% Polyester, Woven"
Dallas Cowboys,http://shop.neweracap.com/style/NFL-Infant-My-First-OnField-59FIFTY-Cap/20566209,Dallas Cowboys NFL Infant My First OnField 59FIFTY Cap,20566209,$19.99,White/Navy,"Made of 100% Polyester, Woven"
Texas Rangers,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398571,Texas Rangers MLB Youth Gray Black and White 59FIFTY,20398571,$24.99,Gray,"Made of 100% Polyester, Woven"
Pittsburgh Pirates,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398565,Pittsburgh Pirates MLB Youth Gray Black and White 59FIFTY,20398565,$24.99,Gray,"Made of 100% Polyester, Woven"
Houston Astros,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398550,Houston Astros MLB Youth Gray Black and White 59FIFTY,20398550,$24.99,Gray,"Made of 100% Polyester, Woven"
Chicago White Sox,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398538,Chicago White Sox MLB Youth Gray Black and White 59FIFTY,20398538,$24.99,Gray,"Made of 100% Polyester, Woven"
Baltimore Orioles,http://shop.neweracap.com/style/Youth-Gray-Black-and-White-Cap/20398520,Baltimore Orioles MLB Youth Gray Black and White 59FIFTY,20398520,$24.99,Gray,"Made of 100% Polyester, Woven"
Tampa Bay Buccaneers,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395235,Tampa Bay Buccaneers NFL 2012 Kids Classics 59FIFTY Cap,20395235,$24.99,Orange,"Made of 100% Polyester, Woven"
Indianapolis Colts,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395230,Indianapolis Colts NFL 2012 Kids Classics 59FIFTY Cap,20395230,$24.99,Gray/Blue,"Made of 100% Polyester, Woven"
Detroit Lions,http://shop.neweracap.com/style/NFL-2012-Kids-Classics-59FIFTY-Cap/20395228,Detroit Lions NFL 2012 Kids Classics 59FIFTY Cap,20395228,$24.99,Blue,"Made of 100% Polyester, Woven"
Miami Marlins,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20388080,Miami Marlins MLB Authentic Collection 59FIFTY Cap,20388080,$19.99,Black,"Made of 100% Polyester, Woven"
Miami Marlins,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20383495,Miami Marlins MLB Authentic Collection 59FIFTY Cap,20383495,$25.99,Orange,"Made of 100% Polyester, Woven"
Seattle Mariners,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249795,Seattle Mariners MLB Authentic Collection 59FIFTY Cap,20249795,$19.99,Navy,"Made of 100% Polyester, Knit"
San Diego Padres,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249793,San Diego Padres MLB Authentic Collection 59FIFTY Cap,20249793,$19.99,Navy,"Made of 100% Cotton, Knit"
Oakland Athletics,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249790,Oakland Athletics MLB Authentic Collection 59FIFTY Cap,20249790,$19.99,Green/Yellow,"Made of 100% Polyester, Woven"
Los Angeles Angels,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249784,Los Angeles Angels MLB Authentic Collection 59FIFTY Cap,20249784,$19.99,Red,"Made of 100% Polyester, Knit"
Kansas City Royals,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249783,Kansas City Royals MLB Authentic Collection 59FIFTY Cap,20249783,$19.99,RoyalBlue,"Made of 100% Polyester, Knit"
Detroit Tigers,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249780,Detroit Tigers MLB Authentic Collection 59FIFTY Cap,20249780,$19.99,Navy,"Made of 100% Polyester, Woven"
Cleveland Indians,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20249778,Cleveland Indians MLB Authentic Collection 59FIFTY Cap,20249778,$19.99,Navy/Red,"Made of 100% Polyester, Woven"
Washington Nationals,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20247694,Washington Nationals MLB Authentic Collection 59FIFTY Cap,20247694,$25.99,Navy/Red,"Made of 100% Polyester, Woven"
San Francisco Giants,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20162179,San Francisco Giants MLB Authentic Collection 59FIFTY Cap,20162179,$25.99,Black/Orange,"Made of 100% Polyester, Woven"
Texas Rangers,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20105720,Texas Rangers MLB Black and White Fashion 59FIFTY Cap,20105720,$24.99,Black,"Made of 100% Wool, Woven Fleece"
Atlanta Braves,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20093942,Atlanta Braves MLB Black and White Fashion 59FIFTY Cap,20093942,$24.99,Black,"Made of 100% Wool, Woven"
New York Mets,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20079651,New York Mets MLB Black and White Fashion 59FIFTY Cap,20079651,$24.99,Black,"Made of 100% Wool, Woven Fleece"
Pittsburgh Pirates,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20079649,Pittsburgh Pirates MLB Black and White Fashion 59FIFTY Cap,20079649,$24.99,Black,"Made of 100% Wool, Woven Fleece"
Los Angeles Dodgers,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20079646,Los Angeles Dodgers MLB Black and White Fashion 59FIFTY Cap,20079646,$24.99,Black,"Made of 100% Wool, Woven Fleece"
Philadelphia Phillies,http://shop.neweracap.com/Style/59Fifty-MLB-Black-and-White-Fashion/20079644,Philadelphia Phillies MLB Black and White Fashion 59FIFTY Cap,20079644,$24.99,Black,"Made of 100% Wool, Woven Fleece"
St. Louis Cardinals,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20078213,St. Louis Cardinals MLB Authentic Collection 59FIFTY Cap,20078213,$25.99,Navy/Red,"Made of 100% Polyester, Woven"
Colorado Rockies,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20078198,Colorado Rockies MLB Authentic Collection 59FIFTY Cap,20078198,$25.99,Black/Purple,"Made of 100% Polyester, Woven"
Colorado Rockies,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20078197,Colorado Rockies MLB Authentic Collection 59FIFTY Cap,20078197,$25.99,Black,"Made of 100% Polyester, Woven"
Atlanta Braves,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20078190,Atlanta Braves MLB Authentic Collection 59FIFTY Cap,20078190,$25.99,Navy/Red,"Made of 100% Polyester, Woven"
San Francisco Giants,http://shop.neweracap.com/Style/59Fifty-MLB-Black-on-Black-Fashion/20057740,San Francisco Giants MLB Black on Black Fashion 59FIFTY Cap,20057740,$24.99,Black,"Made of 100% Wool, Woven Fleece"
New York Yankees,http://shop.neweracap.com/Style/59Fifty-MLB-Black-on-Black-Fashion/20057735,New York Yankees MLB Black on Black Fashion 59FIFTY Cap,20057735,$24.99,Black,"Made of 100% Wool, Woven Fleece"
Los Angeles Dodgers,http://shop.neweracap.com/Style/59Fifty-MLB-Black-on-Black-Fashion/20057734,Los Angeles Dodgers MLB Black on Black Fashion 59FIFTY Cap,20057734,$24.99,Black,"Made of 100% Wool, Woven Fleece"
St. Louis Cardinals,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055151,St. Louis Cardinals MLB Authentic Collection 59FIFTY Cap,20055151,$25.99,Red,"Made of 100% Polyester, Woven"
Pittsburgh Pirates,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055148,Pittsburgh Pirates MLB Authentic Collection 59FIFTY Cap,20055148,$25.99,Black,"Made of 100% Wool, Woven"
Philadelphia Phillies,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055147,Philadelphia Phillies MLB Authentic Collection 59FIFTY Cap,20055147,$25.99,Red,"Made of 100% Polyester, Woven"
Kansas City Royals,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055139,Kansas City Royals MLB Authentic Collection 59FIFTY Cap,20055139,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
Chicago White Sox,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055133,Chicago White Sox MLB Authentic Collection 59FIFTY Cap,20055133,$25.99,Black,"Made of 100% Polyester, Woven"
Boston Red Sox,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20055132,Boston Red Sox MLB Authentic Collection 59FIFTY Cap,20055132,$25.99,Navy,"Made of 100% Polyester, Woven"
Washington Nationals,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841506,Washington Nationals 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841506,$27.99,Red/White,"Made of 100% Polyester, Woven"
Texas Rangers,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841504,Texas Rangers 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841504,$27.99,Navy/White,"Made of 100% Polyester, Woven"
St. Louis Cardinals,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841502,St. Louis Cardinals 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841502,$27.99,Red/White,"Made of 100% Polyester, Woven"
Seattle Mariners,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841501,Seattle Mariners 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841501,$27.99,Navy/White,"Made of 100% Polyester, Woven"
San Diego Padres,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841499,San Diego Padres 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841499,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Pittsburgh Pirates,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841498,Pittsburgh Pirates 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841498,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Oakland Athletics,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841496,Oakland Athletics 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841496,$27.99,Red/White,"Made of 100% Polyester, Woven"
New York Yankees,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841495,New York Yankees 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841495,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Minnesota Twins,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841493,Minnesota Twins 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841493,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Milwaukee Brewers,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841492,Milwaukee Brewers 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841492,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Miami Marlins,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841491,Miami Marlins 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841491,$27.99,Red/White,"Made of 100% Polyester, Woven"
Kansas City Royals,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841489,Kansas City Royals 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841489,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Detroit Tigers,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841487,Detroit Tigers 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841487,$27.99,Navy/White,"Made of 100% Polyester, Woven"
Cincinnati Reds,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841484,Cincinnati Reds 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841484,$27.99,Red/White,"Made of 100% Polyester, Woven"
Chicago White Sox,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841483,Chicago White Sox 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841483,$27.99,Red/White,"Made of 100% Polyester, Woven"
Arizona Diamondbacks,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841478,Arizona Diamondbacks 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841478,$27.99,Red/White,"Made of 100% Polyester, Woven"
Los Angeles Angels,http://shop.neweracap.com/style/2016-MLB-Kids-AC-Stars-Stripes-59FIFTY-Cap/20841477,Los Angeles Angels 2016 MLB Kids AC Stars & Stripes 59FIFTY Cap,20841477,$27.99,Red/White,"Made of 100% Polyester, Woven"
San Diego Padres,http://shop.neweracap.com/style/MLB-2016-Youth-San-Diego-All-Star-Game-Patch-59FIFTY-Cap/20837629,San Diego Padres MLB 2016 Youth San Diego All Star Game Patch 59FIFTY Cap,20837629,$29.99,Navy,"Made of 100% Polyester, Woven"
Milwaukee Brewers,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20836206,Milwaukee Brewers MLB Authentic Collection 59FIFTY Cap,20836206,$19.99,RoyalBlue,"Made of 100% Polyester, Woven"
Arizona Diamondbacks,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830471,Arizona Diamondbacks MLB Authentic Collection 59FIFTY Cap,20830471,$25.99,DarkRed/Black,"Made of 100% Polyester, Woven"
Arizona Diamondbacks,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830469,Arizona Diamondbacks MLB Authentic Collection 59FIFTY Cap,20830469,$25.99,Black,"Made of 100% Polyester, Woven"
Houston Astros,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830468,Houston Astros MLB Authentic Collection 59FIFTY Cap,20830468,$25.99,Orange/Navy,"Made of 100% Polyester, Woven"
Milwaukee Brewers,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830467,Milwaukee Brewers MLB Authentic Collection 59FIFTY Cap,20830467,$25.99,Navy,"Made of 100% Polyester, Woven"
Minnesota Twins,http://shop.neweracap.com/Style/59Fifty-MLB-Authentic-Collection/20830466,Minnesota Twins MLB Authentic Collection 59FIFTY Cap,20830466,$25.99,Red/Navy,"Made of 100% Polyester, Woven"
Tampa Bay Rays,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817236,Tampa Bay Rays MLB Kids 2016 Diamond Era 59FIFTY Cap,20817236,$25.99,LightBlue/Navy,"Made of 100% Polyester, Woven"
Tampa Bay Rays,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817235,Tampa Bay Rays MLB Kids 2016 Diamond Era 59FIFTY Cap,20817235,$25.99,Navy/LightBlue,"Made of 100% Polyester, Woven"
Seattle Mariners,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817233,Seattle Mariners MLB Kids 2016 Diamond Era 59FIFTY Cap,20817233,$25.99,Navy/Teal,"Made of 100% Polyester, Woven"
San Diego Padres,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817231,San Diego Padres MLB Kids 2016 Diamond Era 59FIFTY Cap,20817231,$25.99,White/Navy,"Made of 100% Polyester, Woven"
New York Yankees,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817226,New York Yankees MLB Kids 2016 Diamond Era 59FIFTY Cap,20817226,$25.99,Gray/Navy,"Made of 100% Polyester, Woven"
New York Mets,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817223,New York Mets MLB Kids 2016 Diamond Era 59FIFTY Cap,20817223,$25.99,Orange/RoyalBlue,"Made of 100% Polyester, Woven"
Minnesota Twins,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817222,Minnesota Twins MLB Kids 2016 Diamond Era 59FIFTY Cap,20817222,$25.99,Red/Navy,"Made of 100% Polyester, Woven"
Milwaukee Brewers,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817218,Milwaukee Brewers MLB Kids 2016 Diamond Era 59FIFTY Cap,20817218,$25.99,LightNavy/White,"Made of 100% Polyester, Woven"
Los Angeles Dodgers,http://shop.neweracap.com/style/MLB-Kids-2016-Diamond-Era-59FIFTY-Cap/20817213,Los Angeles Dodgers MLB Kids 2016 Diamond Era 59FIFTY Cap,20817213,$25.99,RoyalBlue,"Made of 100% Polyester, Woven"
